降水量の合計(mm),最高気温(℃),最低気温(℃),最多風向(16方位),天気概況(昼：06時〜18時),平均雲量(10分比),平均蒸気圧(hPa)
55.5,7.0,0.6,15,10,10.0,8.3
28.0,18.6,6.9,15,2,7.8,11.3
0,17.5,6.8,14,2,1.8,8.2
0,12.1,3.5,14,2,3.0,4.7
0,13.4,3.0,14,1,0.0,4.2
0,13.8,5.0,14,2,5.0,4.5
0.0,15.2,5.3,14,2,9.5,6.1
0.0,11.4,4.8,6,4,6.3,5.7
0,15.2,2.4,15,2,2.3,4.8
0,6.9,-0.4,15,1,2.5,2.5
0,6.9,-2.1,15,3,7.3,3.5
0.0,12.7,0.7,0,2,5.0,4.2
0,8.3,1.2,15,1,0.0,2.9
0,10.1,-0.2,15,2,2.8,3.9
0,11.7,1.1,14,1,0.3,4.3
0.0,16.0,1.9,14,3,7.5,5.8
0.0,18.2,7.8,1,4,5.0,8.5
0.0,16.0,8.5,7,4,7.5,10.4
0,16.2,7.6,1,3,7.3,9.4
8.5,11.8,7.8,14,10,10.0,10.7
0.0,16.8,5.8,1,4,7.3,10.7
0.0,12.5,2.8,14,2,2.8,4.3
0,13.3,3.6,14,2,4.0,4.8
0.0,13.1,4.7,15,3,7.8,6.7
0,14.2,5.4,7,2,2.8,7.7
2.5,18.2,6.4,9,4,6.8,10.9
0,16.0,5.4,15,2,1.8,4.3
0,15.4,4.6,14,2,3.3,6.1
0.0,14.4,6.2,14,4,10.0,7.6
3.0,9.4,7.0,0,4,10.0,9.5
0.0,11.9,3.6,15,2,0.8,4.8
0,12.4,1.9,8,2,6.0,4.7
1.0,14.4,5.4,3,4,8.0,7.5
0.5,17.9,6.6,15,3,7.3,8.7
10.0,11.2,5.8,15,10,10.0,9.6
0.0,17.8,5.3,14,2,6.5,7.4
1.5,10.9,7.9,15,4,10.0,9.7
1.0,13.7,6.1,13,2,4.8,5.9
0,15.1,5.4,14,1,0.3,3.9
1.5,10.4,5.2,2,4,10.0,6.9
6.0,8.9,5.6,15,10,10.0,9.5
0.0,19.6,7.6,15,4,7.5,12.0
24.5,18.2,12.6,8,10,7.5,16.4
0.0,21.4,9.8,14,2,6.3,10.0
0,16.7,7.0,6,2,1.0,6.4
0,18.7,6.8,13,3,7.5,8.7
25.0,12.3,1.3,2,10,9.3,7.9
0,12.0,1.8,13,2,4.0,6.5
0,14.4,3.6,14,2,2.0,5.5
0,12.7,2.3,7,2,2.5,5.1
0.0,18.4,4.8,13,1,0.3,7.0
1.0,22.0,6.5,8,1,2.5,11.0
0.0,19.4,9.5,15,2,3.0,7.9
0,21.0,7.6,7,2,0.5,6.9
0,23.7,10.5,8,3,6.8,9.2
0.0,14.0,7.7,6,4,8.5,7.5
0.0,12.6,4.7,14,1,2.5,4.7
0,16.0,3.4,14,1,0.5,5.4
0,20.0,7.5,13,2,3.5,7.4
0.0,22.8,9.1,8,4,8.0,12.8
8.5,24.6,7.4,8,4,10.0,14.7
51.5,7.7,0.7,15,10,10.0,7.6
0,10.3,3.5,15,4,10.0,7.4
0.0,12.5,8.2,15,4,10.0,9.6
31.0,12.9,9.3,15,10,10.0,13.1
0.0,19.4,9.0,14,2,3.8,7.0
0,18.2,6.4,7,2,4.8,7.6
0,22.3,8.6,9,1,0.5,10.6
0.0,15.9,5.6,2,4,6.3,9.2
0,18.4,6.3,14,2,4.5,6.0
0,18.0,7.9,6,3,6.5,7.2
0,20.2,7.9,7,1,2.0,9.5
0.5,20.2,8.0,0,2,5.0,9.1
0,17.2,7.4,14,2,6.8,6.2
0.5,17.0,6.8,6,2,6.5,6.4
6.5,14.6,7.4,15,4,10.0,10.4
132.0,10.1,5.4,15,0,10.0,10.5
1.5,17.2,5.5,14,1,2.5,6.6
0,20.8,5.5,8,3,7.3,7.7
0.5,16.3,8.6,2,4,10.0,9.1
0.5,17.8,8.3,2,4,9.5,9.0
89.5,16.2,9.8,6,0,8.0,14.3
0,22.5,9.0,3,2,4.3,10.1
15.0,10.7,8.3,15,10,9.8,11.3
0,18.9,9.0,7,4,7.0,13.2
0.0,19.2,8.8,2,2,10.0,10.1
1.0,17.0,6.6,13,2,6.5,7.6
0.5,18.4,6.9,15,2,7.0,7.6
0,18.8,5.3,7,1,0.0,8.5
0,24.2,11.5,8,3,7.5,10.7
12.5,17.8,8.5,2,4,10.0,11.3
5.0,19.1,8.0,7,4,9.5,12.1
0,21.7,8.9,7,1,1.8,11.6
0,23.9,11.7,8,2,0.0,13.4
